code,name,is_active
0034,AMAZONAS,1
0035,AUSTRO,1
0061,BANCO CAPITAL,0
0001,BANCO CENTRAL,0
0183,BANCO D MIRO SA,0
0123,BANCO PARA LA ASISTENCIA COMUNITARIA FINCA S.A.,0
0060,BANCO PROCREDIT,0
0066,BANECUADOR B.P.,0
0037,BOLIVARIANO,1
0024,CITIBANK,1
0039,COMERCIAL DE MANABI,1
0299,COOP  DE AHORRO Y CREDITO LA MERCED LTDA,0
0408,COOP A Y C CADECOG GONZANAMA,0
0432,COOP A Y C ESPERANZA Y PROGRESO DEL VALLE,0
0383,COOP A Y C PROFUTURO LTDA,0
0406,COOP A Y C UNION EL EJIDO,0
0407,COOP A Y C VILCABAMBA CACVIL,0
0368,COOP AH Y CR ANDINA LTDA,0
0257,COOP AH Y CR COCA LTDA,0
0270,COOP AH Y CR CREDIAMIGO,0
0185,Coop Ah y Cr de la Pequena Empresa de Loja CACPE L,0
0230,COOP AH Y CR EDUCADORES DE PASTAZA LTDA,0
0168,COOP AH Y CR POLICIA NACIONAL,0
0222,COOP AH Y CR SAN ANTONIO LTDA.,0
0204,Coop Ah y Credito Ambato Ltda,0
0229,COOP AH Y CRJUAN PIO MORA LTDA,0
0214,COOP AHO Y CRED EDUCADORES DE CHIMBORAZO,0
0420,COOP AHO Y CREDITO  MANUEL GODOY,0
9978,COOP AHO Y CREDITO DESARROLLO PUEBLOS,0
9991,COOP AHO Y CREDITO SAN JOSE,0
9985,COOP AHO Y CREDITO SANTA ROSA,0
0312,COOP AHORRO Y CREDI MUJERES UNIDAS TANTANAKUSHKA W,0
0311,COOP AHORRO Y CREDITO SAN GABRIEL LTDA,0
0324,COOP AHORRO Y CREDITO SAN ISIDRO LTDA,0
0404,COOP DE A Y C FUTURO LAMANENSE,0
0342,COOP DE A Y C SAN JUAN DE COTOGCHOA,0
0431,COOP DE A Y C SANTA ANA DE NAYON,0
0308,COOP DE A Y CR CORPORACION CENTRO LTDA,0
0309,COOP DE A. Y C. ANTORCHA LTDA,0
0435,COOP DE AH Y CR AGRICOLA JUNIN LTDA,0
9972,COOP DE AH Y CR CONSTRUCCION COMERCIO Y PRODUCCION,0
0161,COOP DE AH Y CR DE SERV PUBLIC MINISTERIO EDUC Y C,0
0354,COOP DE AH Y CR ERCO LTDA.,0
0279,COOP DE AH Y CR GUACHAPALA LTDA,0
0372,COOP DE AH Y CR NUEVA ESPERANZA,0
0221,COOP DE AHO Y CRED SAN MIGUEL DE LOS BANCOS,0
0430,COOP DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE ,0
0395,COOP DE AHORRO Y CREDITO PROVIDA,0
0355,COOP DE AHORRO Y CREDITO SANTA ISABEL LTDA,0
9995,COOP. 29 DE OCTUBRE,0
0450,COOP. A Y C DE LA PEQ. EMP. CACPE ZAMORA LTDA.,0
